"date","Search_Terms","searches"
2023-02-05,"Donald Trump",0
2023-02-05,"Kamala Harris",0
2023-02-05,"election",0
2023-02-12,"Donald Trump",0
2023-02-12,"Kamala Harris",0
2023-02-12,"election",0
2023-02-19,"Donald Trump",0
2023-02-19,"Kamala Harris",0
2023-02-19,"election",0
2023-02-26,"Donald Trump",0
2023-02-26,"Kamala Harris",0
2023-02-26,"election",0
2023-03-05,"Donald Trump",0
2023-03-05,"Kamala Harris",0
2023-03-05,"election",0
2023-03-12,"Donald Trump",0
2023-03-12,"Kamala Harris",0
2023-03-12,"election",0
2023-03-19,"Donald Trump",0
2023-03-19,"Kamala Harris",0
2023-03-19,"election",0
2023-03-26,"Donald Trump",0
2023-03-26,"Kamala Harris",0
2023-03-26,"election",0
2023-04-02,"Donald Trump",0
2023-04-02,"Kamala Harris",0
2023-04-02,"election",0
2023-04-09,"Donald Trump",0
2023-04-09,"Kamala Harris",0
2023-04-09,"election",0
2023-04-16,"Donald Trump",0
2023-04-16,"Kamala Harris",0
2023-04-16,"election",0
2023-04-23,"Donald Trump",0
2023-04-23,"Kamala Harris",0
2023-04-23,"election",0
2023-04-30,"Donald Trump",0
2023-04-30,"Kamala Harris",0
2023-04-30,"election",0
2023-05-07,"Donald Trump",0
2023-05-07,"Kamala Harris",0
2023-05-07,"election",0
2023-05-14,"Donald Trump",0
2023-05-14,"Kamala Harris",0
2023-05-14,"election",0
2023-05-21,"Donald Trump",0
2023-05-21,"Kamala Harris",0
2023-05-21,"election",0
2023-05-28,"Donald Trump",0
2023-05-28,"Kamala Harris",0
2023-05-28,"election",0
2023-06-04,"Donald Trump",0
2023-06-04,"Kamala Harris",0
2023-06-04,"election",0
2023-06-11,"Donald Trump",0
2023-06-11,"Kamala Harris",0
2023-06-11,"election",0
2023-06-18,"Donald Trump",0
2023-06-18,"Kamala Harris",0
2023-06-18,"election",0
2023-06-25,"Donald Trump",0
2023-06-25,"Kamala Harris",0
2023-06-25,"election",0
2023-07-02,"Donald Trump",0
2023-07-02,"Kamala Harris",0
2023-07-02,"election",0
2023-07-09,"Donald Trump",0
2023-07-09,"Kamala Harris",0
2023-07-09,"election",0
2023-07-16,"Donald Trump",0
2023-07-16,"Kamala Harris",0
2023-07-16,"election",0
2023-07-23,"Donald Trump",0
2023-07-23,"Kamala Harris",0
2023-07-23,"election",0
2023-07-30,"Donald Trump",0
2023-07-30,"Kamala Harris",0
2023-07-30,"election",0
2023-08-06,"Donald Trump",0
2023-08-06,"Kamala Harris",0
2023-08-06,"election",0
2023-08-13,"Donald Trump",0
2023-08-13,"Kamala Harris",0
2023-08-13,"election",0
2023-08-20,"Donald Trump",0
2023-08-20,"Kamala Harris",0
2023-08-20,"election",0
2023-08-27,"Donald Trump",0
2023-08-27,"Kamala Harris",0
2023-08-27,"election",0
2023-09-03,"Donald Trump",0
2023-09-03,"Kamala Harris",0
2023-09-03,"election",0
2023-09-10,"Donald Trump",0
2023-09-10,"Kamala Harris",0
2023-09-10,"election",0
2023-09-17,"Donald Trump",0
2023-09-17,"Kamala Harris",0
2023-09-17,"election",0
2023-09-24,"Donald Trump",0
2023-09-24,"Kamala Harris",0
2023-09-24,"election",0
2023-10-01,"Donald Trump",0
2023-10-01,"Kamala Harris",0
2023-10-01,"election",0
2023-10-08,"Donald Trump",0
2023-10-08,"Kamala Harris",0
2023-10-08,"election",0
2023-10-15,"Donald Trump",0
2023-10-15,"Kamala Harris",0
2023-10-15,"election",0
2023-10-22,"Donald Trump",0
2023-10-22,"Kamala Harris",0
2023-10-22,"election",0
2023-10-29,"Donald Trump",0
2023-10-29,"Kamala Harris",0
2023-10-29,"election",0
2023-11-05,"Donald Trump",0
2023-11-05,"Kamala Harris",0
2023-11-05,"election",2
2023-11-12,"Donald Trump",0
2023-11-12,"Kamala Harris",0
2023-11-12,"election",0
2023-11-19,"Donald Trump",0
2023-11-19,"Kamala Harris",0
2023-11-19,"election",0
2023-11-26,"Donald Trump",0
2023-11-26,"Kamala Harris",0
2023-11-26,"election",0
2023-12-03,"Donald Trump",0
2023-12-03,"Kamala Harris",0
2023-12-03,"election",0
2023-12-10,"Donald Trump",0
2023-12-10,"Kamala Harris",0
2023-12-10,"election",0
2023-12-17,"Donald Trump",0
2023-12-17,"Kamala Harris",0
2023-12-17,"election",0
2023-12-24,"Donald Trump",0
2023-12-24,"Kamala Harris",0
2023-12-24,"election",0
2023-12-31,"Donald Trump",0
2023-12-31,"Kamala Harris",0
2023-12-31,"election",0
2024-01-07,"Donald Trump",0
2024-01-07,"Kamala Harris",0
2024-01-07,"election",0
2024-01-14,"Donald Trump",0
2024-01-14,"Kamala Harris",0
2024-01-14,"election",0
2024-01-21,"Donald Trump",0
2024-01-21,"Kamala Harris",0
2024-01-21,"election",0
2024-01-28,"Donald Trump",0
2024-01-28,"Kamala Harris",0
2024-01-28,"election",0
2024-02-04,"Donald Trump",0
2024-02-04,"Kamala Harris",0
2024-02-04,"election",0
2024-02-11,"Donald Trump",0
2024-02-11,"Kamala Harris",0
2024-02-11,"election",0
2024-02-18,"Donald Trump",0
2024-02-18,"Kamala Harris",0
2024-02-18,"election",0
2024-02-25,"Donald Trump",0
2024-02-25,"Kamala Harris",0
2024-02-25,"election",0
2024-03-03,"Donald Trump",0
2024-03-03,"Kamala Harris",0
2024-03-03,"election",1
2024-03-10,"Donald Trump",0
2024-03-10,"Kamala Harris",0
2024-03-10,"election",0
2024-03-17,"Donald Trump",0
2024-03-17,"Kamala Harris",0
2024-03-17,"election",0
2024-03-24,"Donald Trump",0
2024-03-24,"Kamala Harris",0
2024-03-24,"election",0
2024-03-31,"Donald Trump",0
2024-03-31,"Kamala Harris",0
2024-03-31,"election",0
2024-04-07,"Donald Trump",0
2024-04-07,"Kamala Harris",0
2024-04-07,"election",0
2024-04-14,"Donald Trump",0
2024-04-14,"Kamala Harris",0
2024-04-14,"election",0
2024-04-21,"Donald Trump",0
2024-04-21,"Kamala Harris",0
2024-04-21,"election",0
2024-04-28,"Donald Trump",0
2024-04-28,"Kamala Harris",0
2024-04-28,"election",0
2024-05-05,"Donald Trump",0
2024-05-05,"Kamala Harris",0
2024-05-05,"election",0
2024-05-12,"Donald Trump",0
2024-05-12,"Kamala Harris",0
2024-05-12,"election",0
2024-05-19,"Donald Trump",0
2024-05-19,"Kamala Harris",0
2024-05-19,"election",0
2024-05-26,"Donald Trump",0
2024-05-26,"Kamala Harris",0
2024-05-26,"election",0
2024-06-02,"Donald Trump",0
2024-06-02,"Kamala Harris",0
2024-06-02,"election",1
2024-06-09,"Donald Trump",0
2024-06-09,"Kamala Harris",0
2024-06-09,"election",0
2024-06-16,"Donald Trump",0
2024-06-16,"Kamala Harris",0
2024-06-16,"election",0
2024-06-23,"Donald Trump",0
2024-06-23,"Kamala Harris",0
2024-06-23,"election",0
2024-06-30,"Donald Trump",0
2024-06-30,"Kamala Harris",0
2024-06-30,"election",0
2024-07-07,"Donald Trump",1
2024-07-07,"Kamala Harris",0
2024-07-07,"election",0
2024-07-14,"Donald Trump",1
